이름,일본이름,생년월일,신장(cm),사이즈,가슴사이즈,데뷔일
아카리 츠무기,明里つむぎ,생년월일 : 1998-03-31 (26세),신장 : 155 cm,신체사이즈 : B80 / W58 / H83,컵사이즈 : B 컵,데뷔 : 17년 03월 데뷔
미카미 유아,三上悠亜,생년월일 : 1993-08-16 (31세),신장 : 159 cm,신체사이즈 : B83 / W57 / H88,컵사이즈 : F 컵,데뷔 : 15년 06월 데뷔
아오이 츠카사,葵つかさ,생년월일 : 1990-08-14 (34세),신장 : 163 cm,신체사이즈 : B88 / W58 / H86,컵사이즈 : E 컵,데뷔 : 10년 10월 데뷔
야기 나나,八木奈々,생년월일 : 2000-09-03 (24세),신장 : 156 cm,신체사이즈 : B82 / W56 / H86,컵사이즈 : E 컵,데뷔 : 19년 12월 데뷔
아라이 리마,新井リマ,생년월일 : 2000-10-03 (24세),신장 : 157 cm,신체사이즈 : B88 / W56 / H84,컵사이즈 : F 컵,데뷔 : 21년 06월 데뷔
안자이 라라,安齋らら,생년월일 : 1994-03-01 (30세),신장 : 161 cm,신체사이즈 : B105 / W58 / H89,컵사이즈 : J 컵,데뷔 : 13년 09월 데뷔
사카미치 미루,坂道みる,생년월일 : 1999-11-29 (25세),신장 : 157 cm,신체사이즈 : B82 / W54 / H84,컵사이즈 : E 컵,데뷔 : 18년 08월 데뷔
산노미야 츠바키,三宮つばき,생년월일 : 1998-05-04 (26세),신장 : 150 cm,신체사이즈 : B89 / W54 / H83,컵사이즈 : G 컵,데뷔 : 20년 08월 데뷔
미타니 아카리,美谷朱里,생년월일 : 1997-04-15 (27세),신장 : 166 cm,신체사이즈 : B83 / W58 / H86,컵사이즈 : C 컵,데뷔 : 17년 07월 데뷔
카에데 후아,楓ふうあ,생년월일 : 2001-04-20 (23세),신장 : 170 cm,신체사이즈 : B93 / W59 / H88,컵사이즈 : F 컵,데뷔 : 21년 08월 데뷔
키노시타 히마리 (하나자와 히마리),木下ひまり（花沢ひまり）,생년월일 : 1996-05-21 (28세),신장 : 169 cm,신체사이즈 : B87 / W57 / H88,컵사이즈 : D 컵,데뷔 : 20년 03월 데뷔
시노노메 미레이,東雲みれい,생년월일 : 2001-08-26 (23세),신장 : 158 cm,신체사이즈 : B85 / W53 / H86,컵사이즈 : G 컵,데뷔 : 22년 03월 데뷔
카에데 카렌,楓カレン,생년월일 : 1999-08-25 (25세),신장 : 162 cm,신체사이즈 : B82 / W59 / H81,컵사이즈 : D 컵,데뷔 : 18년 12월 데뷔
오구라 유나,小倉由菜,생년월일 : 1998-11-05 (26세),신장 : 155 cm,신체사이즈 : B83 / W58 / H85,컵사이즈 : D 컵,데뷔 : 17년 12월 데뷔
야마기시 아이카,山岸逢花,생년월일 : 1992-11-30 (32세),신장 : 160 cm,신체사이즈 : B82 / W59 / H81,컵사이즈 : C 컵,데뷔 : 17년 07월 데뷔
마츠모토 이치카,松本いちか,생년월일 : 2000-02-19 (24세),신장 : 153 cm,신체사이즈 : B83 / W50 / H83,컵사이즈 : A 컵,데뷔 : 19년 09월 데뷔
미우라 아유미,三浦歩美,생년월일 : 1982-11-30 (42세),신장 : 167 cm,신체사이즈 : B90 / W58 / H85,컵사이즈 : G 컵,데뷔 : 19년 01월 데뷔
나나사와 미아,七沢みあ,생년월일 : 1998-12-13 (26세),신장 : 145 cm,신체사이즈 : B79 / W54 / H80,컵사이즈 : C 컵,데뷔 : 17년 11월 데뷔
혼조 스즈,本庄鈴,생년월일 : 1997-01-12 (27세),신장 : 163 cm,신체사이즈 : B85 / W62 / H88,컵사이즈 : C 컵,데뷔 : 18년 04월 데뷔
