이름,일본이름,생년월일,신장(cm),사이즈,가슴사이즈,데뷔일
아카리 츠무기,明里つむぎ,생년월일 : 1998-03-31 (26세),신장 : 155 cm,신체사이즈 : B80 / W58 / H83,컵사이즈 : B 컵,데뷔 : 17년 03월 데뷔
미카미 유아,三上悠亜,생년월일 : 1993-08-16 (31세),신장 : 159 cm,신체사이즈 : B83 / W57 / H88,컵사이즈 : F 컵,데뷔 : 15년 06월 데뷔
아오이 츠카사,葵つかさ,생년월일 : 1990-08-14 (34세),신장 : 163 cm,신체사이즈 : B88 / W58 / H86,컵사이즈 : E 컵,데뷔 : 10년 10월 데뷔
야기 나나,八木奈々,생년월일 : 2000-09-03 (24세),신장 : 156 cm,신체사이즈 : B82 / W56 / H86,컵사이즈 : E 컵,데뷔 : 19년 12월 데뷔
안자이 라라,安齋らら,생년월일 : 1994-03-01 (30세),신장 : 161 cm,신체사이즈 : B105 / W58 / H89,컵사이즈 : J 컵,데뷔 : 13년 09월 데뷔
아라이 리마,新井リマ,생년월일 : 2000-10-03 (24세),신장 : 157 cm,신체사이즈 : B88 / W56 / H84,컵사이즈 : F 컵,데뷔 : 21년 06월 데뷔
사카미치 미루,坂道みる,생년월일 : 1999-11-29 (25세),신장 : 157 cm,신체사이즈 : B82 / W54 / H84,컵사이즈 : E 컵,데뷔 : 18년 08월 데뷔
산노미야 츠바키,三宮つばき,생년월일 : 1998-05-04 (26세),신장 : 150 cm,신체사이즈 : B89 / W54 / H83,컵사이즈 : G 컵,데뷔 : 20년 08월 데뷔
미타니 아카리,美谷朱里,생년월일 : 1997-04-15 (27세),신장 : 166 cm,신체사이즈 : B83 / W58 / H86,컵사이즈 : C 컵,데뷔 : 17년 07월 데뷔
카에데 후아,楓ふうあ,생년월일 : 2001-04-20 (23세),신장 : 170 cm,신체사이즈 : B93 / W59 / H88,컵사이즈 : F 컵,데뷔 : 21년 08월 데뷔
키노시타 히마리 (하나자와 히마리),木下ひまり（花沢ひまり）,생년월일 : 1996-05-21 (28세),신장 : 169 cm,신체사이즈 : B87 / W57 / H88,컵사이즈 : D 컵,데뷔 : 20년 03월 데뷔
시노노메 미레이,東雲みれい,생년월일 : 2001-08-26 (23세),신장 : 158 cm,신체사이즈 : B85 / W53 / H86,컵사이즈 : G 컵,데뷔 : 22년 03월 데뷔
카에데 카렌,楓カレン,생년월일 : 1999-08-25 (25세),신장 : 162 cm,신체사이즈 : B82 / W59 / H81,컵사이즈 : D 컵,데뷔 : 18년 12월 데뷔
오구라 유나,小倉由菜,생년월일 : 1998-11-05 (26세),신장 : 155 cm,신체사이즈 : B83 / W58 / H85,컵사이즈 : D 컵,데뷔 : 17년 12월 데뷔
야마기시 아이카,山岸逢花,생년월일 : 1992-11-30 (32세),신장 : 160 cm,신체사이즈 : B82 / W59 / H81,컵사이즈 : C 컵,데뷔 : 17년 07월 데뷔
마츠모토 이치카,松本いちか,생년월일 : 2000-02-19 (24세),신장 : 153 cm,신체사이즈 : B83 / W50 / H83,컵사이즈 : A 컵,데뷔 : 19년 09월 데뷔
미우라 아유미,三浦歩美,생년월일 : 1982-11-30 (42세),신장 : 167 cm,신체사이즈 : B90 / W58 / H85,컵사이즈 : G 컵,데뷔 : 19년 01월 데뷔
혼조 스즈,本庄鈴,생년월일 : 1997-01-12 (27세),신장 : 163 cm,신체사이즈 : B85 / W62 / H88,컵사이즈 : C 컵,데뷔 : 18년 04월 데뷔
사쿠라 모모,桜空もも,생년월일 : 1996-12-03 (28세),신장 : 160 cm,신체사이즈 : B90 / W55 / H86,컵사이즈 : G 컵,데뷔 : 17년 05월 데뷔
나나사와 미아,七沢みあ,생년월일 : 1998-12-13 (26세),신장 : 145 cm,신체사이즈 : B79 / W54 / H80,컵사이즈 : C 컵,데뷔 : 17년 11월 데뷔
카노 유라,架乃ゆら,생년월일 : 1998-12-28 (26세),신장 : 156 cm,신체사이즈 : B84 / W55 / H86,컵사이즈 : D 컵,데뷔 : 17년 11월 데뷔
카와키타 메이사,川北メイサ,생년월일 : 2000-07-21 (24세),신장 : 154 cm,신체사이즈 : B85 / W62 / H90,컵사이즈 : E 컵,데뷔 : 20년 12월 데뷔
진구지 나오,神宮寺ナオ,생년월일 : 1997-02-15 (27세),신장 : 160 cm,신체사이즈 : B86 / W61 / H88,컵사이즈 : D 컵,데뷔 : 17년 10월 데뷔
시라토 하나,白桃はな,생년월일 : 2000-05-12 (24세),신장 : 153 cm,신체사이즈 : B78 / W58 / H88,컵사이즈 : C 컵,데뷔 : 19년 11월 데뷔
미츠하 치하루,三葉ちはる,생년월일 : 1997-07-24 (27세),신장 : 160 cm,신체사이즈 : B84 / W64 / H89,컵사이즈 : F 컵,데뷔 : 22년 10월 데뷔
이토 마유키,伊藤舞雪,생년월일 : 1997-11-30 (27세),신장 : 160 cm,신체사이즈 : B88 / W54 / H89,컵사이즈 : F 컵,데뷔 : 18년 03월 데뷔
미야시타 레나,宮下玲奈,생년월일 : 2002-11-30 (22세),신장 : 162 cm,신체사이즈 : B83 / W57 / H85,컵사이즈 : C 컵,데뷔 : 22년 04월 데뷔
미노 스즈메,美乃すずめ,생년월일 : 1996-05-10 (28세),신장 : 168 cm,신체사이즈 : B93 / W60 / H89,컵사이즈 : G 컵,데뷔 : 19년 10월 데뷔
니시미야 유메,西宮ゆめ,생년월일 : 1996-11-04 (28세),신장 : 158 cm,신체사이즈 : B85 / W56 / H86,컵사이즈 : D 컵,데뷔 : 16년 09월 데뷔
오자키 에리카,尾崎えりか,생년월일 : 1997-03-30 (27세),신장 : 160 cm,신체사이즈 : B84 / W56 / H88,컵사이즈 : C 컵,데뷔 : 21년 08월 데뷔
코요이 코난,小宵こなん,생년월일 : 1999-04-02 (25세),신장 : 164 cm,신체사이즈 : B96 / W59 / H94,컵사이즈 : H 컵,데뷔 : 21년 05월 데뷔
오노 유코,小野夕子,생년월일 : 1994-12-03 (30세),신장 : 160 cm,신체사이즈 : B92 / W56 / H88,컵사이즈 : H 컵,데뷔 : 14년 10월 데뷔
야마테 리아,山手梨愛,생년월일 : 2000-02-23 (24세),신장 : 170 cm,신체사이즈 : B99 / W58 / H88,컵사이즈 : I 컵,데뷔 : 21년 11월 데뷔
쿠노 히나노,九野ひなの,생년월일 : 2001-05-25 (23세),신장 : 157 cm,신체사이즈 : B90 / W60 / H88,컵사이즈 : G 컵,데뷔 : 22년 09월 데뷔
야츠가케 우미,八掛うみ,생년월일 : 2000-09-02 (24세),신장 : 160 cm,신체사이즈 : B80 / W57 / H85,컵사이즈 : C 컵,데뷔 : 20년 11월 데뷔
아사미 유마,麻美ゆま,생년월일 : 1987-03-24 (37세),신장 : 158 cm,신체사이즈 : B96 / W58 / H88,컵사이즈 : H 컵,데뷔 : 05년 10월 데뷔
유메노 아이카,夢乃あいか,생년월일 : 1994-08-26 (30세),신장 : 149 cm,신체사이즈 : B79 / W52 / H78,컵사이즈 : H 컵,데뷔 : 13년 05월 데뷔
니이나 아민,新名あみん,생년월일 : 1997-12-25 (27세),신장 : 160 cm,신체사이즈 : B85 / W55 / H87,컵사이즈 : F 컵,데뷔 : 19년 09월 데뷔
사야마 아이,佐山愛,생년월일 : 1989-01-08 (35세),신장 : 165 cm,신체사이즈 : B98 / W61 / H90,컵사이즈 : H 컵,데뷔 : 07년 04월 데뷔
스즈키 코하루,鈴木心春,생년월일 : 1993-12-01 (31세),신장 : 160 cm,신체사이즈 : B85 / W58 / H85,컵사이즈 : F 컵,데뷔 : 13년 03월 데뷔
시로미네 미우,白峰ミウ,생년월일 : 1997-09-30 (27세),신장 : 170 cm,신체사이즈 : B90 / W60 / H94,컵사이즈 : F 컵,데뷔 : 21년 01월 데뷔
니노미야 히카리,二宮ひかり,생년월일 : 1999-03-15 (25세),신장 : 160 cm,신체사이즈 : B85 / W59 / H88,컵사이즈 : C 컵,데뷔 : 18년 09월 데뷔
야요이 미즈키,弥生みづき,생년월일 : 1998-12-07 (26세),신장 : 157 cm,신체사이즈 : B89 / W60 / H94,컵사이즈 : G 컵,데뷔 : 19년 08월 데뷔
미즈하타 아사미,水端あさみ,생년월일 : 1990-01-30 (34세),신장 : 165 cm,신체사이즈 : B85 / W58 / H88,컵사이즈 : D 컵,데뷔 : 22년 05월 데뷔
아스미 미라이,明日見未来,생년월일 : 2000-08-20 (24세),신장 : 170 cm,신체사이즈 : B91 / W60 / H87,컵사이즈 : G 컵,데뷔 : 21년 11월 데뷔
무카이 아이,向井藍,생년월일 : 1993-10-24 (31세),신장 : 157 cm,신체사이즈 : B80 / W56 / H82,컵사이즈 : C 컵,데뷔 : 15년 11월 데뷔
미야니시 히카루,宮西ひかる,생년월일 : 1999-09-30 (25세),신장 : 정보없음,신체사이즈 : B88 / W61 / H86,컵사이즈 : E 컵,데뷔 : 22년 01월 데뷔
줄리아,JULIA,생년월일 : 1987-05-25 (37세),신장 : 158 cm,신체사이즈 : B102 / W55 / H84,컵사이즈 : J 컵,데뷔 : 10년 04월 데뷔
나나시마 마이,七嶋舞,생년월일 : 2000-09-02 (24세),신장 : 160 cm,신체사이즈 : B84 / W58 / H85,컵사이즈 : D 컵,데뷔 : 21년 05월 데뷔
